brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,clean_title,price,engine_displacement_l,engine_cylinders,transmission_type
Ford,Utility Police Interceptor Base,2013,"51,000 mi.",E85 Flex Fuel,Black,Black,At least 1 accident or damage reported,Yes,"$10,300",3.7,6.0,Automatic
Hyundai,Palisade SEL,2021,"34,742 mi.",Gasoline,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,"$38,005",3.8,6.0,Automatic
Lexus,RX 350 RX 350,2022,"22,372 mi.",Gasoline,Blue,Black,None reported,,"$54,598",3.5,,Automatic
INFINITI,Q50 Hybrid Sport,2015,"88,900 mi.",Hybrid,Black,Black,None reported,Yes,"$15,500",3.5,6.0,Automatic
Audi,Q3 45 S line Premium Plus,2021,"9,835 mi.",Gasoline,Glacier White Metallic,Black,None reported,,"$34,999",2.0,4.0,Automatic
Acura,ILX 2.4L,2016,"136,397 mi.",Gasoline,Silver,Ebony.,None reported,,"$14,798",2.4,,Other
Audi,S3 2.0T Premium Plus,2017,"84,000 mi.",Gasoline,Blue,Black,None reported,Yes,"$31,000",2.0,4.0,Automatic
BMW,740 iL,2001,"242,000 mi.",Gasoline,Green,Green,None reported,Yes,"$7,300",4.4,8.0,Automatic
Lexus,RC 350 F Sport,2021,"23,436 mi.",Gasoline,Black,Black,None reported,Yes,"$41,927",3.5,6.0,Automatic
Tesla,Model X Long Range Plus,2020,"34,000 mi.",,Black,Black,None reported,Yes,"$69,950",,,Automatic
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,"27,608 mi.",Gasoline,Fuji White,Pimento / Ebony,None reported,,"$73,897",,6.0,Automatic
Aston,Martin DBS Superleggera,2019,"22,770 mi.",Gasoline,Silver,Black,None reported,Yes,"$184,606",5.2,12.0,Automatic
Toyota,Supra 3.0 Premium,2021,"12,500 mi.",Gasoline,Yellow,Black,None reported,Yes,"$53,500",3.0,6.0,Automatic
Lincoln,Aviator Reserve AWD,2022,"18,196 mi.",Gasoline,Black,Brown,None reported,Yes,"$62,000",3.0,6.0,Other
Jaguar,F-TYPE,2020,"15,903 mi.",Gasoline,Silver,Black,None reported,,"$47,998",2.0,,Automatic
Land,Rover LR4 HSE,2013,"79,800 mi.",Gasoline,White,Black,None reported,Yes,"$29,990",5.0,8.0,Automatic
Mercedes-Benz,Metris Base,2021,"1,685 mi.",Gasoline,Gray,White,None reported,Yes,"$250,000",2.0,4.0,Automatic
Dodge,Challenger SXT,2013,"61,074 mi.",Gasoline,Black,Gray,None reported,Yes,"$16,800",3.6,6.0,Automatic
Nissan,350Z Enthusiast,2003,"74,000 mi.",Gasoline,Purple,–,None reported,Yes,"$11,000",3.5,6.0,Manual
Jaguar,F-TYPE R,2018,"35,250 mi.",Gasoline,Green,Black,None reported,Yes,"$68,750",5.0,8.0,Automatic
Genesis,GV70 3.5T Sport,2023,"5,400 mi.",Gasoline,Green,Beige,,,"$60,000",3.5,6.0,Automatic
Chevrolet,S-10 LS,2000,"133,510 mi.",E85 Flex Fuel,Blue,Black,None reported,Yes,"$4,500",2.2,4.0,Automatic
BMW,440 Gran Coupe 440i xDrive,2020,"25,990 mi.",Gasoline,White,Beige,None reported,,"$38,598",3.0,,Automatic
Ford,F-150 XLT,2023,"2,823 mi.",Gasoline,Iconic Silver Metallic,Black,None reported,Yes,"$58,504",3.5,6.0,Automatic
Chevrolet,Suburban RST,2021,"52,000 mi.",Gasoline,Blue,Black,None reported,Yes,"$61,000",5.3,8.0,Automatic
Hyundai,Elantra N Base,2022,"11,650 mi.",Gasoline,Black,Black,None reported,Yes,"$32,300",2.0,4.0,Other
Nissan,Sentra SR,2016,"96,541 mi.",Gasoline,Blue,Black,None reported,,"$13,998",1.8,,Automatic
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,"17,500 mi.",Gasoline,Gray,Black,None reported,Yes,"$59,995",2.0,4.0,Automatic
BMW,650 Gran Coupe i xDrive,2015,"69,000 mi.",Gasoline,Gray,Black,None reported,Yes,"$25,700",4.4,8.0,Automatic
Audi,Q5 2.0T Premium Plus,2017,"81,880 mi.",E85 Flex Fuel,Mythos Black Metallic,Black,None reported,Yes,"$21,375",2.0,4.0,Automatic
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,"28,800 mi.",Gasoline,Silver,Black,None reported,Yes,"$48,000",3.0,6.0,Automatic
Dodge,Ram 1500 Laramie Mega Cab,2006,"300,183 mi.",Gasoline,Silver,Gray,At least 1 accident or damage reported,Yes,"$10,900",5.7,8.0,Automatic
BMW,i3 120Ah w/Range Extender,2020,"35,035 mi.",Hybrid,Black,Black,None reported,,"$24,998",,,Automatic
Kia,Sorento SX,2011,"171,000 mi.",Gasoline,Black,Black,None reported,Yes,"$5,999",3.5,6.0,Automatic
Lexus,LX 570 Base,2016,"118,700 mi.",Gasoline,Black,Beige,None reported,Yes,"$46,900",5.7,8.0,Automatic
Jeep,New Compass Trailhawk,2017,"119,000 mi.",Gasoline,Red,Black,None reported,Yes,"$15,900",2.4,4.0,Automatic
BMW,340 i,2018,"44,261 mi.",Gasoline,Gray,Black,None reported,,"$33,598",3.0,,Automatic
Audi,A4 2.0T Premium Plus quattro,2012,"125,575 mi.",Gasoline,Silver,Black,None reported,Yes,"$8,999",2.0,4.0,Automatic
Hyundai,Tucson SE,2007,"16,200 mi.",Gasoline,Gold,Beige,None reported,Yes,"$8,200",2.7,6.0,Automatic
BMW,Z4 sDrive28i,2014,"70,000 mi.",Gasoline,White,Beige,At least 1 accident or damage reported,Yes,"$20,000",2.0,4.0,Automatic
Bentley,Continental GTC Base,2011,"20,200 mi.",E85 Flex Fuel,Black,Black,None reported,Yes,"$79,950",6.0,12.0,Automatic
Honda,Passport Elite,2023,"2,978 mi.",Gasoline,Lunar Silver Metallic,Gray,None reported,,"$45,498",3.5,,Automatic
Dodge,Sprinter 2500,2007,"189,719 mi.",Diesel,White,Gray,At least 1 accident or damage reported,Yes,"$14,000",3.0,6.0,Automatic
BMW,M850 i xDrive,2019,"9,949 mi.",Gasoline,Blue,Black,None reported,,"$75,798",4.4,,Automatic
Lucid,Air Grand Touring,2022,"3,552 mi.",,Red,Beige,None reported,Yes,"$119,999",,,Automatic
Audi,A7 Premium,2012,"54,000 mi.",Gasoline,Black,Brown,At least 1 accident or damage reported,Yes,"$36,880",3.0,6.0,Automatic
Chevrolet,Silverado 1500 Custom Trail Boss,2021,"51,351 mi.",Gasoline,Black,Jet Black,None reported,Yes,"$43,147",5.3,8.0,Automatic
MINI,Convertible John Cooper Works,2017,"24,280 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$29,000",2.0,4.0,Automatic
Toyota,Avalon Touring,2016,"89,148 mi.",Gasoline,Black,Black,None reported,Yes,"$17,500",3.5,6.0,Automatic
Porsche,Cayenne Platinum Edition,2017,"73,043 mi.",Gasoline,White,Black,None reported,Yes,"$30,990",3.6,6.0,Automatic
Mercedes-Benz,AMG C 63 S,2017,"60,000 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$52,500",4.0,8.0,Other
Honda,CR-V EX-L,2016,"73,549 mi.",Gasoline,Mountain Air Metallic,Black,At least 1 accident or damage reported,,"$20,848",2.4,4.0,Automatic
Hummer,H2 Base,2005,"110,900 mi.",Gasoline,Gray,Black,None reported,Yes,"$19,500",6.0,8.0,Automatic
Porsche,911 Carrera S,2013,"39,000 mi.",Gasoline,Blue,Black,None reported,Yes,"$73,000",3.8,6.0,Automatic
Mercedes-Benz,CLA-Class CLA 250,2016,"120,000 mi.",Gasoline,Black,Black,None reported,Yes,"$19,800",2.0,4.0,Other
Chrysler,300 Touring,2009,"134,602 mi.",Gasoline,Blue,Black,None reported,Yes,"$7,500",3.5,6.0,Other
Nissan,Rogue SV,2023,"1,094 mi.",Gasoline,Caspian Blue,Light Gray,None reported,,"$30,999",1.5,3.0,Automatic
Audi,A3 2.0T,2010,"83,500 mi.",Gasoline,Silver,Black,None reported,Yes,"$6,500",2.0,4.0,Other
Ford,Mustang GT Premium,2014,"37,060 mi.",Gasoline,Black,Black,None reported,Yes,"$28,500",5.0,8.0,Manual
Acura,RL Technology,2010,"97,700 mi.",Gasoline,Blue,Beige,None reported,Yes,"$10,995",3.7,6.0,Other
Volvo,XC90 Hybrid T8 R-Design,2018,"40,000 mi.",Plug-In Hybrid,Black,Black,None reported,Yes,"$42,000",2.0,4.0,Other
Audi,R8 5.2 V10,2018,"8,940 mi.",Gasoline,Tango Red Metallic,Black,None reported,,"$144,900",5.2,10.0,Automatic
Mercedes-Benz,GLK-Class GLK 350,2014,"186,000 mi.",Gasoline,Black,Beige,At least 1 accident or damage reported,Yes,"$10,000",3.5,6.0,Automatic
Toyota,C-HR LE,2021,"13,180 mi.",Gasoline,–,–,None reported,,"$23,998",2.0,,Other
Lexus,IS 350 Base,2014,"104,000 mi.",Gasoline,Black,Black,None reported,Yes,"$21,000",3.5,6.0,Automatic
BMW,X4 M40i,2023,"8,500 mi.",Hybrid,Gray,Beige,None reported,Yes,"$67,900",3.0,6.0,Other
BMW,M4 CS,2019,"19,069 mi.",Gasoline,Alpine White,Anthracite,None reported,,"$69,998",3.0,,Automatic
Cadillac,CT5 Premium Luxury,2023,"6,090 mi.",Gasoline,White,Beige,None reported,Yes,"$46,900",2.0,4.0,Automatic
Lucid,Air Grand Touring,2022,"4,900 mi.",,Red,Black,None reported,Yes,"$99,000",,,Automatic
Audi,A5 2.0T Premium Plus,2019,"47,523 mi.",Gasoline,Black,Black,None reported,Yes,"$31,000",2.0,4.0,Other
Chrysler,300C SRT8,2006,"43,000 mi.",Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,"$19,995",6.1,8.0,Automatic
Bentley,Continental GT W12,2017,"14,684 mi.",Gasoline,White,White,None reported,Yes,"$130,000",6.0,12.0,Automatic
BMW,M4 Base,2019,"57,800 mi.",Gasoline,Black,Red,None reported,Yes,"$55,999",3.0,6.0,Other
Toyota,GR Corolla Circuit Edition,2023,952 mi.,Gasoline,Silver,Gray,None reported,Yes,"$49,950",1.6,3.0,Manual
Audi,RS 5 2.9T,2019,"21,240 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$59,950",2.9,6.0,Automatic
Porsche,Cayenne Base,2019,"59,338 mi.",Gasoline,Black,Black,None reported,Yes,"$42,499",3.0,6.0,Other
Lamborghini,Huracan Tecnica Coupe,2023,255 mi.,Gasoline,BLU ELEOS,Nero Ade,None reported,,"$359,991",5.2,,Automatic
Maserati,Quattroporte S,2019,"23,230 mi.",Gasoline,Black,Black,None reported,Yes,"$44,999",3.0,6.0,Automatic
Jaguar,XF 35t R-Sport,2017,"48,000 mi.",Gasoline,Red,Black,At least 1 accident or damage reported,Yes,"$30,000",3.0,6.0,Automatic
Lexus,ES 330 Base,2005,"41,059 mi.",Gasoline,White,Beige,None reported,Yes,"$11,100",3.3,6.0,Automatic
Land,Rover Discovery Sport SE R-Dynamic,2020,"21,240 mi.",Gasoline,White,Black,None reported,,"$37,998",2.0,,Automatic
Porsche,Cayman GTS,2015,"11,500 mi.",Gasoline,Silver,–,None reported,Yes,"$72,000",3.4,6.0,Automatic
Genesis,G90 3.3T Premium,2021,"9,950 mi.",Gasoline,Silver,Blue,None reported,Yes,"$53,950",3.3,6.0,Automatic
Volkswagen,Golf R 20th Anniversary Edition,2023,633 mi.,Gasoline,White,Black,None reported,Yes,"$47,999",2.0,4.0,Manual
Hyundai,Sonata Hybrid Limited,2015,"66,000 mi.",Hybrid,White,Gray,At least 1 accident or damage reported,Yes,"$15,900",2.4,4.0,Automatic
Audi,RS 7 4.0T Prestige,2014,"59,715 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$45,000",4.0,8.0,Automatic
BMW,740 Li,2012,"85,252 mi.",Gasoline,Black,Black,None reported,Yes,"$18,500",3.0,6.0,Automatic
Mercedes-Benz,GLS 450 Base 4MATIC,2020,"17,900 mi.",Hybrid,Black,Black,At least 1 accident or damage reported,Yes,"$80,000",3.0,6.0,Automatic
BMW,M6 Base,2016,"25,500 mi.",Gasoline,White,Black,None reported,Yes,"$55,000",4.4,8.0,Automatic
Subaru,Forester 2.5 X,2004,"210,703 mi.",Gasoline,Green,Beige,,,"$2,300",2.5,4.0,Manual
Hyundai,Elantra N Base,2023,"3,800 mi.",Gasoline,White,Black,None reported,Yes,"$34,000",2.0,4.0,Manual
Kia,Niro Plug-In Hybrid EX Premium,2022,"36,602 mi.",Hybrid,Horizon Blue,Charcoal,None reported,Yes,"$31,995",1.6,4.0,Automatic
Rivian,R1S Adventure Package,2023,"2,800 mi.",,White,Green,None reported,Yes,"$92,000",,,Automatic
Aston,Martin DBS Superleggera,2021,"2,165 mi.",Gasoline,Black,Black,None reported,Yes,"$279,950",5.2,12.0,Automatic
Mercedes-Benz,SLC 300 Base,2018,"33,000 mi.",Gasoline,Red,Black,At least 1 accident or damage reported,Yes,"$29,900",2.0,4.0,Automatic
BMW,435 Gran Coupe i,2016,"76,009 mi.",Gasoline,White,Beige,None reported,Yes,"$24,950",3.0,6.0,Automatic
Jeep,Grand Cherokee Summit,2020,"31,349 mi.",Gasoline,Granite Crystal Clearcoat Metallic,Black,None reported,,"$39,366",5.7,8.0,Automatic
Lexus,RC 350 Base,2015,"48,000 mi.",Gasoline,Orange,Red,None reported,Yes,"$32,900",3.5,6.0,Other
BMW,525 i,2005,"91,420 mi.",Gasoline,Black,Black,None reported,Yes,"$8,900",2.5,6.0,Automatic
Toyota,Corolla LE,2003,"124,756 mi.",Gasoline,Beige,Beige,At least 1 accident or damage reported,Yes,"$4,995",1.8,4.0,Manual
Cadillac,CT5-V Blackwing,2023,"2,415 mi.",Gasoline,Rift Metallic,Gray,None reported,,"$104,900",6.2,8.0,Automatic
GMC,Acadia SLT-1,2012,"116,226 mi.",Gasoline,Black,Black,None reported,Yes,"$7,900",3.6,6.0,Automatic
Lexus,LC 500 Base,2020,"37,869 mi.",Gasoline,Atomic Silver,Rioja Red,None reported,,"$75,950",5.0,8.0,Automatic
BMW,i8 Base,2019,"41,500 mi.",Plug-In Hybrid,White,Black,None reported,Yes,"$86,000",1.5,3.0,Other
Lexus,ES 300h Base,2013,"87,001 mi.",Hybrid,Gold,Beige,None reported,Yes,"$17,995",2.5,4.0,Other
Cadillac,CT5-V V-Series,2022,"4,451 mi.",Gasoline,Summit White,Jet Black,At least 1 accident or damage reported,Yes,"$55,655",3.0,6.0,Automatic
BMW,540 i xDrive,2020,"27,158 mi.",Gasoline,Imperial Blue Metallic,Canberra Beige/Black,None reported,,"$39,998",2.0,,Automatic
Chevrolet,Express 1500 Work Van,2014,"139,804 mi.",Gasoline,White,Gray,At least 1 accident or damage reported,Yes,"$14,500",4.3,6.0,Automatic
Jeep,Gladiator Rubicon,2022,"27,300 mi.",Gasoline,Green,Black,None reported,Yes,"$47,500",3.6,6.0,Automatic
BMW,Z4 sDrive28i,2014,"36,812 mi.",Gasoline,White,Beige,None reported,Yes,"$27,000",2.0,4.0,Other
Land,Rover LR4 HSE LUX Landmark Edition,2016,"144,000 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$18,000",3.0,6.0,Automatic
Cadillac,XT4 Sport,2019,"44,500 mi.",Gasoline,Blue,White,None reported,Yes,"$28,900",2.0,4.0,Automatic
BMW,750 750i xDrive,2021,"10,917 mi.",Gasoline,Black,Black,None reported,,"$73,998",4.4,,Automatic
Bentley,Arnage R,2005,"8,332 mi.",Gasoline,White,Beige,None reported,Yes,"$47,350",75.0,8.0,Automatic
Lincoln,Aviator Reserve AWD,2020,"51,247 mi.",Gasoline,Magnetic Gray Clearcoat,Roast,None reported,,"$47,698",3.0,,Automatic
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,"69,000 mi.",Gasoline,Black,Brown,None reported,Yes,"$36,500",5.5,8.0,Other
RAM,ProMaster 3500 High Roof,2021,"147,834 mi.",Gasoline,Bright White Clearcoat,Black,None reported,Yes,"$32,662",3.6,6.0,Automatic
Ford,Utility Police Interceptor Base,2013,"105,000 mi.",E85 Flex Fuel,White,Black,At least 1 accident or damage reported,Yes,"$6,600",3.7,6.0,Automatic
Audi,A5 2.0T Premium,2011,"92,203 mi.",Gasoline,Red,Beige,None reported,Yes,"$9,995",2.0,4.0,Other
Nissan,GT-R Premium,2010,"15,600 mi.",Gasoline,White,Black,None reported,Yes,"$69,500",3.8,6.0,Other
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,"104,700 mi.",Gasoline,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,,"$30,775",,6.0,Automatic
Toyota,Corolla LE,2010,"72,348 mi.",Gasoline,Red,Gray,At least 1 accident or damage reported,Yes,"$9,995",1.8,4.0,Automatic
Rivian,R1S Adventure Package,2023,"2,500 mi.",,Green,White,None reported,Yes,"$94,000",,,Automatic
Mercedes-Benz,C-Class C300 4MATIC,2022,"13,177 mi.",Gasoline,White,Silk Beige/Black,None reported,,"$44,798",2.0,,Automatic
Porsche,Cayenne E-Hybrid S,2016,"96,000 mi.",Plug-In Hybrid,White,Red,At least 1 accident or damage reported,Yes,"$23,000",3.0,6.0,Other
Chevrolet,Express 1500 Work Van,2011,"93,009 mi.",E85 Flex Fuel,Summit White,Medium Pewter,None reported,Yes,"$22,495",5.3,8.0,Automatic
INFINITI,Q70h Base,2016,"52,750 mi.",Hybrid,White,Black,At least 1 accident or damage reported,Yes,"$28,998",3.5,6.0,Automatic
Audi,A7 Premium Plus,2020,"25,361 mi.",Hybrid,Typhoon Gray,Black,None reported,,"$49,998",3.0,,Automatic
Audi,Q7 3.0T Premium Plus,2015,"98,527 mi.",Gasoline,Black,Black,,,"$9,995",3.0,6.0,Automatic
Lucid,Air Pure,2023,"1,300 mi.",,Black,Gray,,,"$86,900",,,Automatic
Chrysler,Pacifica Touring,2017,"87,305 mi.",–,Silver,Black,None reported,Yes,"$9,000",,,Automatic
Audi,TTS 2.0T Premium Plus,2012,"72,922 mi.",Gasoline,White,Black,,,"$25,999",2.0,4.0,Automatic
BMW,650 Gran Coupe i xDrive,2015,"41,000 mi.",Gasoline,Black,Black,None reported,Yes,"$30,000",4.4,8.0,Automatic
Subaru,Forester Premium,2021,"42,125 mi.",Gasoline,Crystal Black Silica,Black,None reported,Yes,"$27,899",2.5,,Automatic
Mercedes-Benz,AMG C AMG C 63,2016,"62,000 mi.",Gasoline,Black,Black,None reported,Yes,"$40,000",4.0,8.0,Other
Land,Rover LR3 HSE,2006,"153,843 mi.",Gasoline,Red,Beige,At least 1 accident or damage reported,Yes,"$9,950",4.4,8.0,Automatic
BMW,X7 xDrive40i,2019,"35,248 mi.",Gasoline,Arctic Gray Metallic,Black,None reported,,"$53,998",3.0,,Automatic
Ford,Transit Connect XLT,2015,"194,454 mi.",Gasoline,White,Black,None reported,Yes,"$9,888",2.5,4.0,Automatic
Lexus,LX 570 Three-Row,2021,"21,000 mi.",Gasoline,White,Black,None reported,Yes,"$89,999",5.7,8.0,Other
Porsche,911 Carrera S,2013,"18,494 mi.",Gasoline,Black,Black,,,"$86,900",3.8,6.0,Manual
Dodge,Ram 2500 Laramie Quad Cab,2006,"218,000 mi.",Gasoline,Red,Gray,None reported,Yes,"$12,990",5.7,8.0,Automatic
Nissan,Armada SL,2021,"67,800 mi.",Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,"$36,500",5.6,8.0,Automatic
Porsche,Cayman Base,2014,"79,000 mi.",Gasoline,Red,Black,At least 1 accident or damage reported,Yes,"$42,999",2.7,6.0,Other
Mercedes-Benz,GLE 450 GLE 450,2022,"24,906 mi.",Hybrid,Selenite Grey Metallic,Black,None reported,,"$63,998",3.0,,Automatic
Chevrolet,Monte Carlo SS,2006,"66,840 mi.",Gasoline,White,Gray,At least 1 accident or damage reported,Yes,"$12,000",5.3,8.0,Automatic
BMW,M5 Base,2013,"86,000 mi.",Gasoline,Blue,White,None reported,Yes,"$32,000",4.4,8.0,Other
Hyundai,Kona N Base,2023,654 mi.,Gasoline,Ultra Black,Black,None reported,Yes,"$34,599",2.0,4.0,Automatic
Chevrolet,Monte Carlo SS,2005,"75,000 mi.",Gasoline,Black,Black,None reported,Yes,"$12,500",3.8,6.0,Automatic
Land,Rover Range Rover Evoque Pure,2015,"84,000 mi.",Gasoline,Beige,Black,At least 1 accident or damage reported,Yes,"$22,800",2.0,4.0,Automatic
Audi,S7 4.0T Premium Plus,2017,"52,500 mi.",Gasoline,Gray,Gray,None reported,Yes,"$39,999",4.0,8.0,Other
GMC,Acadia SLT-1,2011,"120,000 mi.",Gasoline,Silver,Gray,None reported,Yes,"$7,500",3.6,6.0,Automatic
Alfa,Romeo Stelvio Ti Sport,2020,"18,665 mi.",Gasoline,Lunare White Metallic,Ice,None reported,Yes,"$35,645",2.0,4.0,Automatic
Ferrari,FF Base,2016,"19,987 mi.",Gasoline,Black,Brown,None reported,Yes,"$149,900",6.3,12.0,Automatic
Kia,K900 5.0L,2017,"36,486 mi.",Gasoline,Black,Beige,At least 1 accident or damage reported,Yes,"$23,950",5.0,8.0,Automatic
